SampleID,patient_class,split,n_total_cells,n_tumor_cells,cd8_to_tumor_n_source_cells,cd8_to_tumor_mean_px,cd8_to_tumor_mean_um,cd8_to_tumor_median_px,cd8_to_tumor_median_um,cd8_to_tumor_p10_px,cd8_to_tumor_p10_um,cd8_to_tumor_p25_px,cd8_to_tumor_p25_um,cd8_to_tumor_p75_px,cd8_to_tumor_p75_um,cd8_to_tumor_p90_px,cd8_to_tumor_p90_um,macrophage_to_tumor_n_source_cells,macrophage_to_tumor_mean_px,macrophage_to_tumor_mean_um,macrophage_to_tumor_median_px,macrophage_to_tumor_median_um,macrophage_to_tumor_p10_px,macrophage_to_tumor_p10_um,macrophage_to_tumor_p25_px,macrophage_to_tumor_p25_um,macrophage_to_tumor_p75_px,macrophage_to_tumor_p75_um,macrophage_to_tumor_p90_px,macrophage_to_tumor_p90_um,b_cell_to_tumor_n_source_cells,b_cell_to_tumor_mean_px,b_cell_to_tumor_mean_um,b_cell_to_tumor_median_px,b_cell_to_tumor_median_um,b_cell_to_tumor_p10_px,b_cell_to_tumor_p10_um,b_cell_to_tumor_p25_px,b_cell_to_tumor_p25_um,b_cell_to_tumor_p75_px,b_cell_to_tumor_p75_um,b_cell_to_tumor_p90_px,b_cell_to_tumor_p90_um
1,0,val,5167,2609,173,26.390855233992497,10.292433541257074,23.589820169692526,9.200029866180085,18.2157371101629,7.104137472963532,20.229069428020757,7.889337076928095,28.74524934336144,11.210647243910962,38.694305789632395,15.090779257956635,281,24.372881850547888,9.505423921713676,23.25359558478327,9.068902278065476,17.23585194511558,6.721982258595077,19.747208000600175,7.701411120234068,27.937016544780175,10.895436452464269,32.1144220004116,12.524624580160525,1147,61.75143289552087,24.08305882925314,41.30668378727239,16.109606677036233,19.059452820934876,7.433186600164602,23.859486150102263,9.305199598539883,85.79197409165329,33.45886989574478,138.19899405334726,53.897607680805436
2,0,val,3028,2072,245,29.512043140988904,11.509696824985673,27.741982969391593,10.819373358062721,19.03191348868124,7.4224462605856845,22.241447820082055,8.674164649832,35.192194576616046,13.72495588488026,41.94355562417359,16.3579866934277,511,30.473010462545506,11.884474080392748,28.84698217126043,11.250323046791568,19.607809003419224,7.647045511333498,23.47326226665568,9.154572283995716,35.799864540610386,13.961947170838052,43.16119800506718,16.8328672219762,2,22.834636334397366,8.905508170414974,22.834636334397366,8.905508170414974,19.356088058021946,7.548874342628559,20.66054366166273,8.057612028048464,25.008729007132,9.75340431278148,26.313184610772783,10.262141998201386
3,1,train,6315,3136,496,41.07355523468488,16.018686541527103,33.52308905474829,13.074004731351833,18.411925353422678,7.180650887834845,22.39516982288351,8.734116230924569,50.99901441715844,19.889615622691792,74.96012666813452,29.234449400572466,726,33.10540352019425,12.911107372875758,27.008910911646833,10.533475255542266,17.036502006022,6.644235782348581,20.00068342301534,7.800266534975982,40.71025793365078,15.877000594123805,55.82142000029506,21.770353800115075,427,39.74973486422846,15.5023965970491,34.157642502310885,13.321480575901246,18.224521921976766,7.107563549570939,22.157860672455612,8.641565662257689,50.15198572121193,19.55927443127265,72.30191741784019,28.197747792957674
4,1,test,6643,2482,304,59.45585841807766,23.18778478305029,49.35791359795077,19.2495863032008,20.6576635182007,8.056488772098273,29.53523771202602,11.518742707690148,81.48923063995306,31.780799949581695,109.87542860965804,42.85141715776664,880,57.85092683743906,22.561861466601236,49.66608001408827,19.369771205494427,22.130242637418053,8.63079462859304,30.795156879087727,12.010111182844215,74.02203932314546,28.868595336026733,103.13464286577053,40.22251071765051,329,61.89983919127257,24.1409372845963,52.516695396956834,20.481511204813167,21.620620997301167,8.432042188947456,30.59770103289128,11.9331034028276,73.85136416349683,28.80203202376376,112.88733408103647,44.026060291604225
5,1,train,5406,2616,531,39.241733924783404,15.304276230665527,33.54041573595075,13.080762137020793,18.213869602261283,7.1034091448819,23.11306411013675,9.014095002953333,50.311029663789824,19.62130156887803,68.88516846950692,26.8652157031077,1064,45.17078400330101,17.616605761287396,39.002479280467185,15.210966919382203,19.84505775909542,7.739572526047214,25.629735570694795,9.995596872570971,54.593017430147306,21.29127679775745,76.7834302996508,29.945537816863816,3,37.27166383080664,14.53594889401459,32.45851248653297,12.658819869747857,27.76249775806873,10.827374125646806,29.523503281242817,11.5141662796847,42.61324870823363,16.619166996211113,48.70609044125402,18.995375272089067
6,1,train,5998,3678,206,36.1233759133613,14.088116606210908,27.57502581295929,10.754260067054123,18.34885009829864,7.15605153833647,21.61079282425415,8.428209201459119,45.47977891418837,17.737113776533466,61.78252250860912,24.09518377835756,710,47.48719894989094,18.520007590457467,39.028865349999336,15.221257486499741,20.05382501662981,7.8209917564856255,25.31713544353718,9.8736828229795,60.45173652336759,23.576177244113364,88.79084571159761,34.62842982752307,33,42.04533355661052,16.397680087078104,40.574380593799425,15.824008431581776,18.48030124333613,7.207317484901091,23.067279960214645,8.996239184483711,53.26102688557612,20.771800485374687,66.01197728336155,25.744671140511002
7,0,train,3410,2852,4,29.79972502920662,11.621892761390582,28.062256472182405,10.944280024151139,21.331060964202326,8.319113776038908,24.694793097553784,9.630969308045977,33.16718840383524,12.935203477495744,39.65836393983029,15.466761936533812,245,33.892412607670224,13.218040916991388,30.917819015529187,12.057949416056383,18.594726558654713,7.251943357875338,23.21117662154634,9.052358882403073,42.23060825970456,16.46993722128478,53.68578080984284,20.93745451583871,0,,,,,,,,,,,,
8,0,val,3136,2575,50,28.318311276646458,11.044141397892119,25.898022644437177,10.100228831330499,17.838951810186327,6.957191205972667,20.837912735742165,8.126785966939444,35.31328049011674,13.772179391145528,40.31782989679377,15.72395365974957,269,28.095219477614208,10.957135596269541,25.78386754728295,10.055708343440351,18.452341403777854,7.196413147473363,21.460076069060662,8.369429666933659,32.518448381727936,12.682194868873895,40.56157334892818,15.81901360608199,8,27.611416644172362,10.768452491227222,25.717636525410093,10.029878244909936,14.933917012676519,5.824227634943843,18.571298930751283,7.242806582993,35.403623367328194,13.807413113257995,43.878859150561155,17.11275506871885
9,1,test,6139,2867,391,40.224596138190456,15.687592493894279,31.949657283638633,12.460366340619068,17.559352694137004,6.848147550713432,20.88317889209705,8.14443976791785,53.1613510809094,20.732926921554665,75.4826061895855,29.438216413938346,1236,46.80885315795899,18.25545273160401,40.1725140959748,15.667280497430172,19.285488763775106,7.5213406178722915,26.402758813338977,10.297075937202202,60.99505602344889,23.788071849145066,82.27080902847126,32.08561552110379,60,46.82667216323669,18.262402143662307,40.27872907018399,15.708704337371758,20.608871185838957,8.037459762477194,27.470416230490706,10.713462329891376,63.96227284876502,24.94528641101836,79.56831366058786,31.031642327629267
10,1,val,4580,1714,410,36.077147785164215,14.070087636214044,30.313064450658185,11.822095135756692,17.939555078056767,6.996426480442139,22.850993349942783,8.911887406477685,45.209745786888824,17.631800856886642,61.52094824595407,23.993169815922087,1304,42.18109723481648,16.450627921578427,39.02335988832179,15.2191103564455,20.20978235110278,7.881815116930085,28.134781581330962,10.972564816719075,52.69554067581673,20.551260863568526,67.80477959077896,26.443864040403795,18,43.03384994824087,16.78320147981394,40.193140101377764,15.67532463953733,21.818479585154797,8.509207038210372,29.631535233627158,11.556298741114592,49.007524079774655,19.112934391112116,65.13658593794251,25.40326851579758
