column,n_missing,pct_missing
SampleID,0,0.0
cellLabelInImage,0,0.0
cellSize,0,0.0
C,0,0.0
Na,0,0.0
Si,0,0.0
P,0,0.0
Ca,0,0.0
Fe,0,0.0
dsDNA,0,0.0
Vimentin,0,0.0
SMA,0,0.0
Background,0,0.0
B7H3,0,0.0
FoxP3,0,0.0
Lag3,0,0.0
CD4,0,0.0
CD16,0,0.0
CD56,0,0.0
OX40,0,0.0
PD1,0,0.0
CD31,0,0.0
PD-L1,0,0.0
EGFR,0,0.0
Ki67,0,0.0
CD209,0,0.0
CD11c,0,0.0
CD138,0,0.0
CD163,0,0.0
CD68,0,0.0
CSF-1R,0,0.0
CD8,0,0.0
CD3,0,0.0
IDO,0,0.0
Keratin17,0,0.0
CD63,0,0.0
CD45RO,0,0.0
CD20,0,0.0
p53,0,0.0
Beta catenin,0,0.0
HLA-DR,0,0.0
CD11b,0,0.0
CD45,0,0.0
H3K9ac,0,0.0
Pan-Keratin,0,0.0
H3K27me3,0,0.0
phospho-S6,0,0.0
MPO,0,0.0
Keratin6,0,0.0
HLA_Class_1,0,0.0
Ta,0,0.0
Au,0,0.0
tumorYN,0,0.0
tumorCluster,0,0.0
Group,0,0.0
immuneCluster,0,0.0
immuneGroup,0,0.0
patient_class,0,0.0
centroid_x,0,0.0
centroid_y,0,0.0
mask_area_pixels,0,0.0
